dataset,hardness_metric,seed,weighting_strategy,mean_similarity,mean_ks_statistic,std_ks_statistic
NewThyroid2,feature_DS,116740,curriculum,0.46849454857847395,0.7281141406041165,0.10328823445535973
BCWDD,feature_kDN,670488,self_paced,0.48615120436918957,0.4641369850346009,0.16228208181059864
NewThyroid2,feature_DS,116740,static,0.454004349394124,0.7325581395348837,0.10585790992370131
BCWDD,feature_kDN,116740,curriculum,0.5103758676837145,0.4121850099409707,0.12091590359589095
NewThyroid2,feature_DS,116740,self_paced,0.42989177563553405,0.6943664795509221,0.08931787948933975
NewThyroid2,feature_DS,26226,curriculum,0.38285784684904123,0.7527399091152098,0.08549815477025287
BCWDD,feature_kDN,116740,static,0.47339918171176826,0.43221182744324393,0.10934463378064564
NewThyroid2,feature_DS,26226,static,0.4118066202528712,0.7395415664260893,0.09213131892733417
BCWDD,feature_kDN,116740,self_paced,0.49667412284398416,0.5004577470215618,0.15138984797122731
NewThyroid2,feature_DS,26226,self_paced,0.40055960187046086,0.6546043838545842,0.09420512660880007
Hypothyroid,,26226,static,0.5786032621763187,0.6726869879624855,0.18140620829871457
NewThyroid2,feature_DCP,670488,curriculum,0.4901355106926638,0.4408914728682171,0.09404143491617156
BCWDD,feature_kDN,26226,curriculum,0.4657490483379453,0.42396621611207874,0.08885679655718864
NewThyroid2,feature_DCP,670488,static,0.41468655072112615,0.7776663993584604,0.07564775012297051
BCWDD,feature_kDN,26226,static,0.4712251391534973,0.3965414669481989,0.12192056688390804
NewThyroid2,feature_DCP,670488,self_paced,0.44312084876928426,0.7142141138732959,0.08074901679669777
NewThyroid2,feature_DCP,116740,curriculum,0.4835200631397879,0.4511160117615611,0.12141101968461528
BCWDD,feature_kDN,26226,self_paced,0.4876056803535375,0.4892159733674461,0.13318406137777328
NewThyroid2,feature_DCP,116740,static,0.47204976155692985,0.651095963646084,0.07449735721237909
BCWDD,feature_DS,670488,curriculum,0.49543028919446186,0.44410400258927607,0.13649646696226128
NewThyroid2,feature_DCP,116740,self_paced,0.4161001996096114,0.7125434375835339,0.0917437642668927
NewThyroid2,feature_DCP,26226,curriculum,0.4315499865206517,0.54557604918471,0.10974005045046611
BCWDD,feature_DS,670488,static,0.46305661657520575,0.4553550236579689,0.15067849380595844
NewThyroid2,feature_DCP,26226,static,0.38143313415635094,0.7665396952686447,0.08264751007403262
BCWDD,feature_DS,670488,self_paced,0.48213565547262466,0.4858468319898894,0.14123111967584054
NewThyroid2,feature_DCP,26226,self_paced,0.4056002125596025,0.6780272654370488,0.10064240498205754
NewThyroid2,feature_TD_P,670488,curriculum,0.47896219776277815,0.539361133386795,0.08930767274562812
BCWDD,feature_DS,116740,curriculum,0.5094522468230938,0.478982167902224,0.12909930200189793
NewThyroid2,feature_TD_P,670488,static,0.4431183628988464,0.6297447206629243,0.08115636424630114
NewThyroid2,feature_TD_P,670488,self_paced,0.42689971809933475,0.7154504143277198,0.0953621557891593
BCWDD,feature_DS,116740,static,0.4797438213815521,0.4398594392984294,0.12337232487704161
NewThyroid2,feature_TD_P,116740,curriculum,0.45573377802284626,0.6155105586741514,0.06018057991110358
BCWDD,feature_DS,116740,self_paced,0.48480179401865126,0.44731902039054916,0.13367747402716293
NewThyroid2,feature_TD_P,116740,static,0.4710908295078016,0.6009088479016306,0.07348253487362044
Hypothyroid,relative_entropy,670488,curriculum,0.5991266108921922,0.6962053864232726,0.1354235262095308
NewThyroid2,feature_TD_P,116740,self_paced,0.4058316243143648,0.7068631381983427,0.08516992369766506
BCWDD,feature_DS,26226,curriculum,0.4898278796167784,0.45807684601513493,0.12458912412325036
NewThyroid2,feature_TD_P,26226,curriculum,0.4109802677858433,0.7382718524458701,0.09442164011363106
BCWDD,feature_DS,26226,static,0.47374190346868444,0.4852334201562812,0.1194464632845186
NewThyroid2,feature_TD_P,26226,static,0.4196658469191032,0.7077653033948142,0.11263304543395457
NewThyroid2,feature_TD_P,26226,self_paced,0.41553486851369886,0.6604183373429564,0.1014233492705305
BCWDD,feature_DS,26226,self_paced,0.5039163267420895,0.4637054390210071,0.14433779598727955
NewThyroid2,feature_TD_U,670488,curriculum,0.4616589985490806,0.589080459770115,0.062176709049028646
BCWDD,feature_DCP,670488,curriculum,0.4642882784218434,0.4724288334386511,0.04584542356141242
NewThyroid2,feature_TD_U,670488,static,0.4339460986339506,0.5767508687516707,0.06972051431999549
NewThyroid2,feature_TD_U,670488,self_paced,0.4011599834260502,0.7325247260090885,0.0912746037578515
BCWDD,feature_DCP,670488,static,0.485304198986507,0.45545058027526475,0.06962754682361547
NewThyroid2,feature_TD_U,116740,curriculum,0.46814308007095523,0.5770181769580326,0.07216889193984635
BCWDD,feature_DCP,670488,self_paced,0.5131144171382389,0.42495877194334425,0.15271294648122513
NewThyroid2,feature_TD_U,116740,static,0.43298389704256757,0.6035485164394547,0.11773295998308228
NewThyroid2,feature_TD_U,116740,self_paced,0.37924613791665324,0.7390403635391606,0.08688830016085972
BCWDD,feature_DCP,116740,curriculum,0.4506977963843309,0.4493811938412218,0.11134179426967775
NewThyroid2,feature_TD_U,26226,curriculum,0.4031617484485587,0.7470930232558141,0.09074592581157169
BCWDD,feature_DCP,116740,static,0.4534252113821989,0.4609928640784181,0.10461381936120376
