dataset,hardness_metric,seed,weighting_strategy,overall_similarity,mean_ks_statistic,std_ks_statistic,mean_ks_pvalue
BCWDD,feature_CLD,26226,curriculum,0.7308417623864221,0.2691582376135779,0.16313173234085107,0.13259970159121354
NewThyroid2,feature_LSC,116740,curriculum,0.7925336597307222,0.20746634026927788,0.20417979488459098,0.21142649893138427
BCWDD,feature_CLD,26226,static,0.7639293673924225,0.23607063260757757,0.16510202190589898,0.15966158249336895
NewThyroid2,feature_LSC,116740,static,0.7790697674418605,0.22093023255813957,0.22576961222904401,0.22374542182782042
NewThyroid2,feature_LSC,116740,self_paced,0.7789677682578539,0.22103223174214606,0.2009949759514619,0.19722674013145172
BCWDD,feature_CLD,26226,self_paced,0.743356763243614,0.256643236756386,0.15516516171034592,0.11033868805196663
NewThyroid2,feature_LSC,26226,curriculum,0.8405752753977969,0.1594247246022032,0.15436133381042363,0.25739948265076146
BCWDD,feature_MV,670488,curriculum,0.7254128807360419,0.27458711926395796,0.20946669406663038,0.10748618443825443
NewThyroid2,feature_LSC,26226,static,0.8298653610771115,0.1701346389228886,0.14799719571626743,0.19936915798005148
NewThyroid2,feature_LSC,26226,self_paced,0.8192574459404326,0.18074255405956752,0.17381103903270903,0.3001232419587362
BCWDD,feature_MV,670488,static,0.7273558489056517,0.27264415109434825,0.19850004916490116,0.1097013068660623
NewThyroid2,feature_LSR,670488,curriculum,0.7594859241126071,0.24051407588739285,0.21614519986585687,0.22789753444409033
BCWDD,feature_MV,670488,self_paced,0.7192982456140351,0.28070175438596495,0.1770733263757876,0.11085325040396907
NewThyroid2,feature_LSR,670488,static,0.7502039983680131,0.24979600163198698,0.24414791100672126,0.27131685207847805
NewThyroid2,feature_LSR,670488,self_paced,0.7559159526723787,0.24408404732762137,0.22954276732346712,0.2730546823195786
BCWDD,feature_MV,116740,curriculum,0.7476427224412824,0.2523572775587177,0.16931453961505444,0.15232449222576436
NewThyroid2,feature_LSR,116740,curriculum,0.7593839249286005,0.2406160750713994,0.2060655160218033,0.21656483385355957
BCWDD,feature_MV,116740,static,0.7147837019258243,0.28521629807417564,0.19529461458566064,0.1063588507936944
NewThyroid2,feature_LSR,116740,static,0.7862097103223175,0.21379028967768257,0.1957915186734248,0.22456156485094725
Hypothyroid,relative_entropy,26226,curriculum,0.6833906110985118,0.31660938890148804,0.30791185048104047,0.10596340786317902
NewThyroid2,feature_LSR,116740,self_paced,0.8181354549163605,0.1818645450836393,0.1636037659566894,0.20852713663466255
BCWDD,feature_MV,116740,self_paced,0.786387793588205,0.21361220641179496,0.15661303350200118,0.1421051871148744
NewThyroid2,feature_LSR,26226,curriculum,0.8423092615259078,0.15769073847409223,0.15729339109779034,0.2740502765125574
BCWDD,feature_MV,26226,curriculum,0.7507286130636036,0.24927138693639633,0.16834871405573304,0.11846975788494525
NewThyroid2,feature_LSR,26226,static,0.8310893512851897,0.1689106487148103,0.13752470962724275,0.20763479459560105
NewThyroid2,feature_LSR,26226,self_paced,0.8227254181966545,0.17727458180334554,0.16910203513322158,0.30020892004314487
BCWDD,feature_MV,26226,static,0.7554717412423567,0.24452825875764328,0.14842191372641828,0.12435607186623232
NewThyroid2,feature_Harmfulness,670488,curriculum,0.77203182374541,0.22796817625458998,0.19375479978271082,0.26126265488492456
