dataset,hardness_metric,seed,weighting_strategy,overall_similarity,mean_ks_statistic,std_ks_statistic,mean_ks_pvalue
BCWDD,pca_contribution,26226,self_paced,0.7486142065260871,0.25138579347391277,0.16863523534349864,0.1487082626598291
NewThyroid2,feature_kDN,26226,self_paced,0.8310893512851898,0.1689106487148103,0.15794434493120002,0.2976330540657523
NewThyroid2,feature_DS,670488,curriculum,0.7284781721746226,0.2715218278253774,0.24102456820582088,0.28912396176207383
BCWDD,feature_kDN,670488,curriculum,0.7572432710440596,0.24275672895594036,0.1713971796532636,0.15950383404817425
NewThyroid2,feature_DS,670488,static,0.7519379844961241,0.248062015503876,0.22753830190503127,0.2549418205867936
BCWDD,feature_kDN,670488,static,0.7213555060289158,0.27864449397108404,0.21408458432518251,0.15198802068640513
NewThyroid2,feature_DS,670488,self_paced,0.795389636882905,0.20461036311709505,0.19117596884975857,0.2562954105967449
NewThyroid2,feature_DS,116740,curriculum,0.7727458180334557,0.22725418196654426,0.19573072015734047,0.22523169262949538
BCWDD,feature_kDN,670488,self_paced,0.7037545002571576,0.2962454997428425,0.22236235569059556,0.10688511397393878
NewThyroid2,feature_DS,116740,static,0.7615259077927377,0.23847409220726234,0.2064337493313214,0.2183797562724426
BCWDD,feature_kDN,116740,curriculum,0.770386879250243,0.22961312074975715,0.14356486819282832,0.18469833579506031
NewThyroid2,feature_DS,116740,self_paced,0.7842717258261934,0.2157282741738066,0.1939127087000126,0.2303167182560428
NewThyroid2,feature_DS,26226,curriculum,0.817217462260302,0.1827825377396981,0.1782802184892787,0.3184459238997803
BCWDD,feature_kDN,116740,static,0.7721012629293105,0.22789873707068975,0.14255104586853676,0.1615719817133671
NewThyroid2,feature_DS,26226,static,0.8173194614443086,0.18268053855569158,0.17755893030541314,0.3095082893667732
BCWDD,feature_kDN,116740,self_paced,0.7107263272186982,0.2892736727813018,0.19582392847083915,0.13042833240708696
NewThyroid2,feature_DS,26226,self_paced,0.8539371685026519,0.146062831497348,0.10340504021409307,0.2229699458064809
Hypothyroid,,26226,static,0.6452558309927953,0.35474416900720485,0.31769586585715526,0.10526315789575652
NewThyroid2,feature_DCP,670488,curriculum,0.6672786617707059,0.3327213382292942,0.2328155897077127,0.14794408140294732
BCWDD,feature_kDN,26226,curriculum,0.7655294588262186,0.23447054117378135,0.19975472738611327,0.157972566794358
NewThyroid2,feature_DCP,670488,static,0.7174622603019176,0.2825377396980824,0.25037456951772685,0.2683540953211541
BCWDD,feature_kDN,26226,static,0.7878164466540947,0.2121835533459055,0.1397612850314691,0.1599254777578046
NewThyroid2,feature_DCP,670488,self_paced,0.7886576907384739,0.21134230926152592,0.24278844150533646,0.27137063765114816
NewThyroid2,feature_DCP,116740,curriculum,0.6829865361077112,0.3170134638922888,0.20646519524424028,0.12650008649902358
BCWDD,feature_kDN,26226,self_paced,0.7086119206811818,0.2913880793188182,0.20214608712658927,0.11276166356916748
NewThyroid2,feature_DCP,116740,static,0.7995716034271725,0.2004283965728274,0.15701932091735657,0.257411394075639
BCWDD,feature_DS,670488,curriculum,0.796045488313618,0.2039545116863821,0.12576333535019513,0.13079210500344618
NewThyroid2,feature_DCP,116740,self_paced,0.8088535291717667,0.19114647082823336,0.1632335616567999,0.202703818384177
NewThyroid2,feature_DCP,26226,curriculum,0.751325989392085,0.2486740106079151,0.18891339334571539,0.2246704972916242
BCWDD,feature_DS,670488,static,0.7713583633350477,0.22864163666495227,0.1659331132066269,0.11586061499008277
NewThyroid2,feature_DCP,26226,static,0.8014075887392901,0.19859241126070995,0.20220679018274154,0.29085310988220064
BCWDD,feature_DS,670488,self_paced,0.7050117149551404,0.29498828504485974,0.21161222329478377,0.11330078919514182
NewThyroid2,feature_DCP,26226,self_paced,0.8690330477356182,0.13096695226438185,0.09340987036164583,0.26663449542482637
NewThyroid2,feature_TD_P,670488,curriculum,0.7920236638106894,0.20797633618931047,0.18853422779761847,0.29114167559939846
BCWDD,feature_DS,116740,curriculum,0.7649008514772273,0.2350991485227727,0.14139923229312729,0.10927143656562463
NewThyroid2,feature_TD_P,670488,static,0.7985516115871073,0.20144838841289267,0.16791147680242377,0.2841008079067498
