dataset,hardness_metric,seed,weighting_strategy,mean_similarity,mean_real_score,mean_synth_score,std_real_score,std_synth_score,score_difference
BCWDD,pca_contribution,116740,curriculum,0.7835094352612796,0.23406454032850854,0.2084410899982498,0.0012323269940856857,0.001258470017465915,0.02562345033025873
NewThyroid2,feature_kDN,670488,static,0.7321478531285615,0.2665847395040548,0.2798043444178911,0.0,0.007805286834735428,0.01321960491383628
BCWDD,pca_contribution,116740,static,0.7699977039077435,0.23406454032850854,0.2092306305691248,0.0012323269940856857,0.0019654374525425048,0.024833909759383738
NewThyroid2,feature_kDN,670488,self_paced,0.8797664795714617,0.2665847395040548,0.2587358932433029,0.0,0.0011685691679260508,0.00784884626075194
NewThyroid2,feature_kDN,116740,curriculum,0.7023325025393237,0.2695586592990631,0.27931895654114947,0.0,0.005283715893360135,0.00976029724208638
BCWDD,pca_contribution,116740,self_paced,0.8069909949976353,0.23406454032850854,0.21064999274922278,0.0012323269940856857,0.0013820561243657423,0.023414547579285766
NewThyroid2,feature_kDN,116740,static,0.8690466440881377,0.2695586592990631,0.2739177844771183,0.0,0.001339726209288456,0.004359125178055201
Hypothyroid,,116740,static,0.7548415206091488,0.3954090326277897,0.34990085240597124,4.9205967656114654e-05,0.001903024987609213,0.04550818022181846
BCWDD,pca_contribution,26226,curriculum,0.7533147789469026,0.23027166246111871,0.2103235727515728,0.0036947827007027573,0.0015053591377952832,0.019948089709545924
NewThyroid2,feature_kDN,116740,self_paced,0.7888536534025761,0.2695586592990631,0.2762702310947272,0.0,0.002956686593780902,0.0067115717956641174
NewThyroid2,feature_kDN,26226,curriculum,0.6716955386651043,0.2726460846149061,0.29145399254626086,0.0,0.002471187032970867,0.018807907931354784
BCWDD,pca_contribution,26226,static,0.7493563468730291,0.23027166246111871,0.2029200810391986,0.0036947827007027573,0.0006813459038426066,0.027351581421920124
NewThyroid2,feature_kDN,26226,static,0.8744190731969899,0.2726460846149061,0.27413298781781187,0.0,0.003336155427399797,0.0014869032029057871
BCWDD,pca_contribution,26226,self_paced,0.7572044486017819,0.23027166246111871,0.21067627429112187,0.003694782700702773,0.0006860847494011158,0.01959538816999684
NewThyroid2,feature_kDN,26226,self_paced,0.888005781246311,0.2726460846149061,0.2675393611078129,0.0,0.001988471863341529,0.0051067235070931805
NewThyroid2,feature_DS,670488,curriculum,0.856175809267414,0.2665847395040548,0.24984547988019737,0.0,0.00019333775637960567,0.016739259623857444
BCWDD,feature_kDN,670488,curriculum,0.8476819477961756,0.22541749030518263,0.23357579777277257,0.0018249600297177721,0.001638251739782553,0.008158307467589943
NewThyroid2,feature_DS,670488,static,0.8741646428782789,0.2665847395040548,0.2576563661267341,0.0,0.0006756098856896092,0.00892837337732072
BCWDD,feature_kDN,670488,static,0.8506518721440165,0.22541749030518263,0.22846925605787274,0.0018249600297177721,0.001214894624983399,0.0030517657526901165
NewThyroid2,feature_DS,670488,self_paced,0.683017648154235,0.2665847395040548,0.28271889014848006,0.0,0.003908588239474567,0.01613415064442525
NewThyroid2,feature_DS,116740,curriculum,0.9027883875673045,0.2695586592990631,0.2691325376683738,0.0,0.0008332454404007744,0.0004261216306892801
BCWDD,feature_kDN,670488,self_paced,0.8061658515178209,0.22541749030518263,0.20323098319990354,0.0018249600297177721,0.0009479553079605415,0.022186507105279085
NewThyroid2,feature_DS,116740,static,0.8810918484000865,0.2695586592990631,0.2641573978137045,0.0,0.0026822383270894506,0.005401261485358577
BCWDD,feature_kDN,116740,curriculum,0.8093433759856236,0.23406454032850854,0.23620440824736175,0.0012323269940856974,0.0023051136216918865,0.0021398679188532055
NewThyroid2,feature_DS,116740,self_paced,0.8448157787346957,0.2695586592990631,0.2635123629968991,3.204937810639273e-17,0.0014131407750657486,0.006046296302163967
NewThyroid2,feature_DS,26226,curriculum,0.9092285113438062,0.2726460846149061,0.27165539808616596,0.0,0.0011722011913892281,0.0009906865287401256
BCWDD,feature_kDN,116740,static,0.8145305324055353,0.23406454032850854,0.2366864209444205,0.0012323269940856857,0.001349292825384741,0.0026218806159119534
NewThyroid2,feature_DS,26226,static,0.8860886170607152,0.2726460846149061,0.26658128928402464,0.0,0.00460689940949428,0.006064795330881445
BCWDD,feature_kDN,116740,self_paced,0.763991792847278,0.23406454032850854,0.20689138554637532,0.0012323269940856857,0.001897390051016609,0.027173154782133224
NewThyroid2,feature_DS,26226,self_paced,0.6685669295055489,0.2726460846149061,0.2893448398304019,0.0,0.00645818423144764,0.016698755215495797
Hypothyroid,,26226,static,0.7821876052683389,0.40050471046435204,0.34081396802207636,4.435293679571391e-05,0.0012106041887789331,0.05969074244227568
NewThyroid2,feature_DCP,670488,curriculum,0.5832174250739495,0.2665847395040548,0.3008644349938318,0.0,0.016383015384523254,0.034279695489776996
BCWDD,feature_kDN,26226,curriculum,0.7690204767505971,0.23027166246111871,0.2379236466317891,0.0036947827007027573,0.00026823627974976506,0.007651984170670395
NewThyroid2,feature_DCP,670488,static,0.8627273365927944,0.2665847395040548,0.25312304194468205,0.0,0.0006024809476091592,0.013461697559372765
BCWDD,feature_kDN,26226,static,0.8091830045603084,0.23027166246111871,0.24043920542015004,0.0036947827007027573,0.0008981924334243666,0.010167542959031328
NewThyroid2,feature_DCP,670488,self_paced,0.872284013958798,0.2665847395040548,0.2581439541683397,0.0,0.002913171041623665,0.008440785335715129
NewThyroid2,feature_DCP,116740,curriculum,0.5571297325498914,0.2695586592990631,0.3260734603127512,3.204937810639273e-17,0.0028245914292512136,0.05651480101368811
BCWDD,feature_kDN,26226,self_paced,0.745686017366215,0.23027166246111871,0.2065673415510079,0.0036947827007027573,0.0009246585909675158,0.02370432091011082
NewThyroid2,feature_DCP,116740,static,0.6990425274533817,0.2695586592990631,0.2833776744274516,0.0,0.00614558497874803,0.013819015128388512
BCWDD,feature_DS,670488,curriculum,0.845154219458514,0.22541749030518263,0.21881133148936507,0.0018249600297177721,0.002128121883515493,0.006606158815817553
NewThyroid2,feature_DCP,116740,self_paced,0.8556969297527565,0.2695586592990631,0.2746531048768177,0.0,0.0050895850467551455,0.005094445577754625
NewThyroid2,feature_DCP,26226,curriculum,0.601097917892748,0.2726460846149061,0.3128000677299108,0.0,0.0025329230448910686,0.04015398311500473
BCWDD,feature_DS,670488,static,0.8234520449106408,0.22541749030518263,0.21024591672543366,0.0018249600297177721,0.0009895221438135104,0.015171573579748965
NewThyroid2,feature_DCP,26226,static,0.9045080689927748,0.2726460846149061,0.2738334917588149,0.0,0.0008480890220100637,0.001187407143908803
BCWDD,feature_DS,670488,self_paced,0.8166502451917779,0.22541749030518263,0.20275766455504773,0.0018249600297177721,0.0007721575051046285,0.022659825750134893
NewThyroid2,feature_DCP,26226,self_paced,0.7464918414022134,0.2726460846149061,0.2773198342135624,0.0,0.005373609756577486,0.004673749598656296
NewThyroid2,feature_TD_P,670488,curriculum,0.6519949234465204,0.2665847395040548,0.2987663190828057,0.0,0.0032930815650233838,0.032181579578750896
BCWDD,feature_DS,116740,curriculum,0.7925615835635323,0.23406454032850854,0.2133191342305875,0.0012323269940856857,0.002108059420245571,0.020745406097921054
NewThyroid2,feature_TD_P,670488,static,0.6766698341419095,0.2665847395040548,0.29044828177867554,0.0,0.0016030174583635916,0.02386354227462073
NewThyroid2,feature_TD_P,670488,self_paced,0.8840969404356774,0.2665847395040548,0.26231966355242364,0.0,0.005475867973122833,0.00426507595163117
BCWDD,feature_DS,116740,static,0.8138464352471497,0.23406454032850854,0.22496878620303273,0.0012323269940856857,0.0018974062616206337,0.009095754125475808
NewThyroid2,feature_TD_P,116740,curriculum,0.6511601028316669,0.2695586592990631,0.3009052896202569,0.0,0.005195700721663197,0.031346630321193836
BCWDD,feature_DS,116740,self_paced,0.7569723654724476,0.23406454032850854,0.23403757539863937,0.0012323269940856857,0.0020165406835186694,2.6964929869172094e-05
NewThyroid2,feature_TD_P,116740,static,0.6383124344606569,0.2695586592990631,0.303781063853699,0.0,0.007463516417940733,0.03422240455463593
Hypothyroid,relative_entropy,670488,curriculum,0.8302606493472076,0.33675638839170574,0.33881958227484016,8.640255986253359e-05,0.0001572426858682464,0.0020631938831344176
NewThyroid2,feature_TD_P,116740,self_paced,0.899504452058397,0.2695586592990631,0.2742460494537073,0.0,0.004271268214417481,0.0046873901546442
BCWDD,feature_DS,26226,curriculum,0.780681438098105,0.23027166246111871,0.21585806220855544,0.0036947827007027573,0.0007263183174316913,0.014413600252563274
NewThyroid2,feature_TD_P,26226,curriculum,0.8784406435614941,0.2726460846149061,0.26089915004165315,0.0,0.002327368365071521,0.011746934573252932
BCWDD,feature_DS,26226,static,0.7485576527544621,0.23027166246111871,0.2073727924363267,0.0036947827007027573,0.0012292770552245805,0.022898870024792017
NewThyroid2,feature_TD_P,26226,static,0.8154493061598426,0.2726460846149061,0.27478984102237664,0.0,0.0056607406185317085,0.002143756407470554
NewThyroid2,feature_TD_P,26226,self_paced,0.8957827389337703,0.2726460846149061,0.2751823693395203,0.0,0.008014783997111596,0.0025362847246142017
BCWDD,feature_DS,26226,self_paced,0.755819961710035,0.23027166246111871,0.21282946317567883,0.0036947827007027573,0.001429737771486387,0.017442199285439886
NewThyroid2,feature_TD_U,670488,curriculum,0.6581916917671616,0.2665847395040548,0.2982514671616598,0.0,0.009642331016606963,0.031666727657604976
BCWDD,feature_DCP,670488,curriculum,0.7421553091329904,0.22541749030518263,0.2272986408146009,0.0018249600297177721,0.00246499433638414,0.0018811505094182834
NewThyroid2,feature_TD_U,670488,static,0.6177320749393883,0.2665847395040548,0.30641290676955246,0.0,0.0035113992388417477,0.03982816726549765
NewThyroid2,feature_TD_U,670488,self_paced,0.8601429511163612,0.2665847395040548,0.25105674904512404,0.0,0.0010512424453952382,0.015527990458930774
BCWDD,feature_DCP,670488,static,0.7051369174639742,0.22541749030518263,0.23628702742551178,0.0018249600297177721,0.0041027725485482235,0.010869537120329148
NewThyroid2,feature_TD_U,116740,curriculum,0.6485109640691944,0.2695586592990631,0.30866093447580006,0.0,0.0007873516160756422,0.03910227517673698
BCWDD,feature_DCP,670488,self_paced,0.8382709071371409,0.22541749030518263,0.21548303322288254,0.001824960029717798,0.00036864135122296565,0.009934457082300091
NewThyroid2,feature_TD_U,116740,static,0.7040655837411349,0.2695586592990631,0.28520999455622326,0.0,0.0022079622219607835,0.01565133525716017
NewThyroid2,feature_TD_U,116740,self_paced,0.8761272931787396,0.2695586592990631,0.2597840526483311,0.0,0.000608911208065515,0.009774606650731987
BCWDD,feature_DCP,116740,curriculum,0.8141075810703616,0.23406454032850854,0.23520024995509406,0.0012323269940856974,0.002497609633312596,0.0011357096265855182
NewThyroid2,feature_TD_U,26226,curriculum,0.8717318500911905,0.2726460846149061,0.2591871244174639,0.0,0.0018721711650126736,0.013458960197442194
BCWDD,feature_DCP,116740,static,0.8060102461241697,0.23406454032850854,0.23219367439108785,0.0012323269940856974,0.0032481751818748154,0.001870865937420696
NewThyroid2,feature_TD_U,26226,static,0.8938463815623766,0.2726460846149061,0.26683147968059817,0.0,0.003388974556729847,0.00581460493430791
NewThyroid2,feature_TD_U,26226,self_paced,0.7467870275266173,0.2726460846149061,0.28068985951031133,0.0,0.007736361747353301,0.008043774895405253
