dataset,hardness_metric,seed,weighting_strategy,bottleneck_H0_mean,bottleneck_H0_std,bottleneck_H1_mean,bottleneck_H1_std,wasserstein_H0_mean,wasserstein_H0_std,wasserstein_H1_mean,wasserstein_H1_std
BCWDD,feature_DS,26226,curriculum,1.569735010464986,0.002684473271153877,0.4729119340578715,0.048235197844709296,65.30359952589036,8.485364395571072,7.276592086761077,2.0552671147295327
NewThyroid2,feature_TD_P,26226,curriculum,1.1975573301315308,0.0,0.14645264546076456,0.06522489490915277,12.206465649432564,1.2574213401057404,0.6856970250799845,0.3475842441023219
BCWDD,feature_DS,26226,static,1.3962401549021404,0.11757933523784347,0.4827314813931783,0.0928897404467043,66.4879007226927,6.976392852716776,6.242942097476168,0.6872216225206224
NewThyroid2,feature_TD_P,26226,static,1.26787265141805,0.09944088100601728,0.11340578397115071,0.04898686694955447,10.752927315430748,1.157467856550648,0.38756174587698755,0.2012612529380298
NewThyroid2,feature_TD_P,26226,self_paced,1.26787265141805,0.09944088100601728,0.11891380945841472,0.03736578632416292,10.54760819634359,0.30608261963298256,0.3996386829734054,0.12433811522168753
BCWDD,feature_DS,26226,self_paced,1.569735010464986,0.002684473271153877,0.5643479824066162,0.04771430814245101,63.06442296589383,8.318285076453396,8.049138976364317,2.518896318569935
NewThyroid2,feature_TD_U,670488,curriculum,1.2600181301434834,0.21777848634184527,0.20394599437713623,0.04913295268150156,11.197241252956124,0.17987849099312994,0.554789770591067,0.049953195092434996
BCWDD,feature_DCP,670488,curriculum,1.4327117602030437,0.15139564139548103,0.39548301696777344,0.04953100653640664,86.24129707916211,15.207702039795143,5.925712589162217,1.3710295949511477
NewThyroid2,feature_TD_U,670488,static,1.053601900736491,0.2530866811048729,0.16452229022979736,0.018782574451485883,11.486734616906952,0.7414426064640823,0.5566421456565451,0.046246523331481146
NewThyroid2,feature_TD_U,670488,self_paced,1.2086893717447917,0.3440980542067438,0.19066470861434937,0.05575353708415106,11.925814570453284,0.98624325003112,0.5734991710890633,0.03191975578871662
BCWDD,feature_DCP,670488,static,1.4700762430826824,0.23826124844970328,0.5040230552355448,0.08940544195948923,85.97648113081478,11.974601752139472,6.897982527222251,1.9650990931664336
NewThyroid2,feature_TD_U,116740,curriculum,1.2849299907684326,0.20330654660611536,0.1137628157933553,0.05525856644759648,10.576552250951693,1.087704131559969,0.2645624606712021,0.1522309312398288
BCWDD,feature_DCP,670488,self_paced,1.1272493203481038,0.1927119718932642,0.42881274223327637,0.05044369867477794,30.423068670955008,6.301223678233496,3.5756504077609303,0.7956026027378404
NewThyroid2,feature_TD_U,116740,static,1.0418511033058167,0.3519623116590202,0.17238610982894897,0.04808794234029632,12.027565455260634,0.8973367154986263,0.42047315918345723,0.14310946048186365
NewThyroid2,feature_TD_U,116740,self_paced,1.1068170269330342,0.2924129458024369,0.11082762479782104,0.003161940868984292,10.97906457666317,0.9476144677701003,0.23214460627810066,0.04212179625002619
BCWDD,feature_DCP,116740,curriculum,1.5000539620717366,0.08384800385268364,0.5070417920748392,0.03930380132419215,91.01839955397128,8.473027832498648,7.0247790520619295,1.8292016912769653
NewThyroid2,feature_TD_U,26226,curriculum,1.26787265141805,0.09944088100601728,0.1340915560722351,0.07439135846711334,10.515564073942224,1.3229379129347016,0.5055396941857961,0.3389221617939273
BCWDD,feature_DCP,116740,static,1.556881070137024,0.1163802649095426,0.6032023231188456,0.17477775982881152,98.47336681923885,7.501978859941247,7.691630001438672,1.531045732350096
NewThyroid2,feature_TD_U,26226,static,1.26787265141805,0.09944088100601728,0.12670141458511353,0.047308917875101185,9.935984892663308,0.315356118654215,0.288183305427039,0.09546206029252027
NewThyroid2,feature_TD_U,26226,self_paced,1.217270851135254,0.03672350724700732,0.16834727923075357,0.043975909344670806,11.408412653595155,1.0586943546360255,0.760170952452881,0.15001065436565802
BCWDD,feature_DCP,116740,self_paced,1.6562014818191528,0.18452935114065225,0.43644193808237713,0.061628341756017065,70.90822987383079,5.896005890499367,8.194649454503642,0.8239301192543114
Hypothyroid,relative_entropy,670488,static,1.8019609451293945,0.0,0.25338653723398846,0.09698998341764578,53.2542888929251,3.376229619287889,4.078635132079484,0.39552410705433
NewThyroid2,feature_CL,670488,curriculum,1.208962877591451,0.00013054283878774245,0.13285362720489502,0.02600367830055438,10.639111989594321,1.296750467286924,0.5060860929543662,0.1323744755397969
BCWDD,feature_DCP,26226,curriculum,1.5083366632461548,0.0980285942651672,0.41847681999206543,0.03313799792746347,81.9020978993077,8.806491335134156,5.9072817898695895,1.7811943343330399
NewThyroid2,feature_CL,670488,static,1.127736250559489,0.11480658181855119,0.1512410044670105,0.0,12.026232240092865,0.4376301649741281,0.5755180841580764,0.012780117104524228
NewThyroid2,feature_CL,670488,self_paced,1.127736250559489,0.11480658181855119,0.19066470861434937,0.05575353708415106,11.781071245035498,0.1266846892614076,0.5655798730842755,0.015557153912904777
BCWDD,feature_DCP,26226,static,1.571633219718933,0.0,0.4839104215304057,0.0635592761513961,93.19343864380437,6.163556529276379,7.027341071176973,1.2901338492364636
NewThyroid2,feature_CL,116740,curriculum,1.1763569116592407,0.2305628174922994,0.1336870789527893,0.03549009096338641,11.506487867412984,1.5258707022079832,0.28744728447478113,0.1318850150544624
BCWDD,feature_DCP,26226,self_paced,1.552516261736552,0.02703546125000007,0.46319313844045,0.03373527681092402,63.83281415188324,3.2720917105222314,5.512856412043849,0.31902325425466055
NewThyroid2,feature_CL,116740,static,1.1763569116592407,0.2305628174922994,0.15878236293792725,0.03549009096338641,11.649044167467471,1.8992207805169063,0.3827950461897642,0.12372070403369978
NewThyroid2,feature_CL,116740,self_paced,1.154569943745931,0.3822748697150075,0.1050792137781779,0.01771828274341252,9.566113796181007,0.6576042631037974,0.20652262739884783,0.0704440666326359
BCWDD,feature_TD_P,670488,curriculum,1.4494046767552693,0.138205192042821,0.4400978485743205,0.07814811285724733,75.99491277296845,3.6962814753935946,5.353117011382852,0.3600323532963933
NewThyroid2,feature_CL,26226,curriculum,1.26787265141805,0.09944088100601728,0.1737609306971232,0.04436074374865611,11.674453888512382,1.5547096951088382,0.703261406339417,0.18889943710130447
NewThyroid2,feature_CL,26226,static,1.26787265141805,0.09944088100601728,0.10005414485931396,0.07152026570181205,9.536814558582101,1.4221809210786025,0.34611209053416064,0.24692195285805055
BCWDD,feature_TD_P,670488,static,1.2890791098276775,0.08094466838126234,0.3977610071500142,0.03371791700582053,82.17115934027878,8.713508017262056,6.664790554197467,1.4265175925782323
NewThyroid2,feature_CL,26226,self_paced,0.9044214089711508,0.2232945770420978,0.09691472848256429,0.07107922088355069,9.185071572826477,2.270659139931347,0.3891584599155172,0.2925447929541632
BCWDD,feature_TD_P,670488,self_paced,1.2075512011845906,0.2857943241361936,0.4351349671681722,0.02624164175180708,50.71088324005376,6.037646441080256,6.398680332359249,1.9668564328293354
NewThyroid2,feature_CLD,670488,curriculum,1.272075851758321,0.08912468118970276,0.15232243140538534,0.04070812266985812,11.492868567318075,0.22171429103519816,0.544282815894511,0.10552933417150567
NewThyroid2,feature_CLD,670488,static,1.1908492247263591,0.17713455623241198,0.19608132044474283,0.052345491307956106,10.786809935034901,1.210443012042911,0.5266680270042593,0.052803021108947
BCWDD,feature_TD_P,116740,curriculum,1.643919587135315,0.20131005653955258,0.45072974761327106,0.0142615366509883,93.254231107873,8.005875651594243,6.865584957756113,1.5821909357747903
NewThyroid2,feature_CLD,670488,self_paced,1.208962877591451,0.00013054283878774245,0.1722773313522339,0.07234946596213979,11.094036798770432,0.7311005335021903,0.51620068156471,0.07982515225970577
BCWDD,feature_TD_P,116740,static,1.643919587135315,0.20131005653955258,0.45072974761327106,0.0142615366509883,89.72775663485203,10.08662315894531,6.206186777649635,1.7013856197283224
NewThyroid2,feature_CLD,116740,curriculum,1.1014996965726216,0.2852275485880814,0.16101819276809692,0.03232815009440212,12.221203135730073,1.8499776455782013,0.47928701757259556,0.1414888113943701
NewThyroid2,feature_CLD,116740,static,0.9858186841011047,0.3746233038213314,0.13909282286961874,0.03235233119406677,10.438186489237875,1.7873905093333566,0.37419824110740113,0.13679557861941846
BCWDD,feature_TD_P,116740,self_paced,1.1590156555175781,0.31344466340399685,0.38739510377248126,0.04563376375491751,47.71825378559271,2.530965160322003,8.261422832532448,1.3818536499883465
Hypothyroid,relative_entropy,670488,self_paced,1.5912883281707764,0.22413349751271347,0.24926120042800903,0.08134870339726391,57.77149201264785,4.388862834996182,4.131584241280944,0.44401048945380805
NewThyroid2,feature_CLD,116740,self_paced,1.1014996965726216,0.2852275485880814,0.16101819276809692,0.03232815009440212,12.51287833403024,2.1031873421454526,0.52623320148041,0.11225455744660512
BCWDD,feature_TD_P,26226,curriculum,1.569735010464986,0.002684473271153877,0.5013195872306824,0.025238486557809255,79.18556498807172,4.281770224593463,5.820238137423011,0.6301395727482759
NewThyroid2,feature_CLD,26226,curriculum,1.171910325686137,0.03627034152091908,0.12391004959742229,0.03846547141231762,10.442389262100962,1.1496375831586394,0.43245529045638714,0.14472383005899786
NewThyroid2,feature_CLD,26226,static,1.1975573301315308,0.0,0.1747589906056722,0.05304343852910256,10.187719527360235,1.3196973367428007,0.4688049980052896,0.06989750906847596
BCWDD,feature_TD_P,26226,static,1.5043797492980957,0.09511076998580603,0.5048760970433553,0.05270602767842853,85.76427710149835,4.539485630018824,8.098627709138743,1.2101750974006364
