dataset,seed,model,hardness_metric,strategy,v_dist,v_comp,v_hard,v_topo,MFI
Hepatitis,26226,HardTVAE_N1_curriculum,N1,curriculum,0.3462100764732344,0.8324272543893838,0.4196710942441492,0.8024960141186204,0.5182249107050855
Hepatitis,26226,HardTVAE_N1_static,N1,static,0.3755060728744939,0.8193215146887244,0.4253636938646426,0.8192645650882838,0.5365432103668915
Hepatitis,26226,HardTVAE_N1_self_paced,N1,self_paced,0.3584682860998651,0.8220999980372017,0.415876027830487,0.8340055843652686,0.5256490748500124
Hepatitis,26226,HardTVAE_N2_curriculum,N2,curriculum,0.3531264057579847,0.8563941956039031,0.4263124604680581,0.8300052971090183,0.5297983337676979
Hepatitis,26226,HardTVAE_N2_static,N2,static,0.3773054430949168,0.8494224156962402,0.4285262492093611,0.8272469660965132,0.5427370618188913
Hepatitis,26226,HardTVAE_N2_self_paced,N2,self_paced,0.3636414754835806,0.8408450251976927,0.407337128399747,0.8665719288182592,0.5299289018919006
Hepatitis,26226,HardTVAE_LSC_curriculum,LSC,curriculum,0.3845029239766082,0.8123394367700669,0.4315306767868437,0.8337988695975883,0.544333566181804
Hepatitis,26226,HardTVAE_LSC_static,LSC,static,0.356612685560054,0.8352724554958427,0.4316888045540797,0.9038923521546636,0.5387795455058789
Hepatitis,26226,HardTVAE_LSC_self_paced,LSC,self_paced,0.372919478182636,0.8345882451010684,0.4275774826059456,0.9020422644399604,0.5459191294591742
Hepatitis,26226,HardTVAE_LSR_curriculum,LSR,curriculum,0.3630791722896986,0.8158850135041562,0.4364326375711575,0.9000015080745456,0.5418367947623153
Hepatitis,26226,HardTVAE_LSR_static,LSR,static,0.3515519568151147,0.8244518329876567,0.4362745098039216,0.8582994808114701,0.5322910214889129
Hepatitis,26226,HardTVAE_LSR_self_paced,LSR,self_paced,0.3753373819163292,0.839453966064879,0.4128716002530044,0.8930802192111886,0.5407377658344854
Hepatitis,26226,HardTVAE_Harmfulness_curriculum,Harmfulness,curriculum,0.3626293297345929,0.789175699715519,0.42235926628716,0.8154548603038142,0.5250209356769895
Hepatitis,26226,HardTVAE_Harmfulness_static,Harmfulness,static,0.3728632478632478,0.8247469952995559,0.418247944339026,0.8443807597861908,0.5354990634901351
Hepatitis,26226,HardTVAE_Harmfulness_self_paced,Harmfulness,self_paced,0.3628542510121457,0.8181097532730952,0.4278937381404175,0.9236581738546248,0.5406912191353176
Hepatitis,26226,HardTVAE_F1_curriculum,F1,curriculum,0.3747750787224471,0.8326169483234771,0.4383301707779886,0.8881336088945406,0.5497041424461206
