model,hardness_metric,strategy,Dataset,metric,baseline,gain_index,gain_std,n_seeds,win_rate
HardTVAE_CB_static,CB,static,Vertebral,Precision,TVAE,0.06361831942658075,0.2738049814561866,5,0.6
HardTVAE_CB_static,CB,static,Vertebral,Recall,TVAE,0.032258064516129045,0.13494516557001224,5,0.4
HardTVAE_CB_static,CB,static,Vertebral,Specificity,TVAE,0.046789554531489974,0.3785754970753203,5,0.4
HardTVAE_CLD_curriculum,CLD,curriculum,BCWDD,F1 Score,TVAE,-0.07856302563098579,0.19186300253173402,10,0.3
HardTVAE_CLD_curriculum,CLD,curriculum,BCWDD,Precision,TVAE,-0.09983578922880519,0.2284882189658192,10,0.3
HardTVAE_CLD_curriculum,CLD,curriculum,BCWDD,Recall,TVAE,-0.05087719298245617,0.13218185457845158,10,0.3
HardTVAE_CLD_curriculum,CLD,curriculum,BCWDD,Specificity,TVAE,-0.08920217209690895,0.236811887232442,10,0.3
HardTVAE_CLD_curriculum,CLD,curriculum,HeartCleveland,F1 Score,TVAE,-0.007353152063317869,0.0480797715361758,10,0.2
HardTVAE_CLD_curriculum,CLD,curriculum,HeartCleveland,Precision,TVAE,-0.014627625015995138,0.03839417993877614,10,0.3
HardTVAE_CLD_curriculum,CLD,curriculum,HeartCleveland,Recall,TVAE,-0.009677419354838724,0.04314495193062127,10,0.2
HardTVAE_CLD_curriculum,CLD,curriculum,HeartCleveland,Specificity,TVAE,-0.004188126863648678,0.052548762573654186,10,0.2
HardTVAE_CLD_curriculum,CLD,curriculum,Hepatitis,F1 Score,TVAE,0.013985054430456742,0.05819019482686371,6,0.3333333333333333
HardTVAE_CLD_curriculum,CLD,curriculum,Hepatitis,Precision,TVAE,0.04239831349206352,0.10523068571346747,6,0.3333333333333333
HardTVAE_CLD_curriculum,CLD,curriculum,Hepatitis,Recall,TVAE,-0.010416666666666666,0.04704829079431756,6,0.16666666666666666
HardTVAE_CLD_curriculum,CLD,curriculum,Hepatitis,Specificity,TVAE,0.08306623931623928,0.13469707787749324,6,0.3333333333333333
HardTVAE_CLD_curriculum,CLD,curriculum,Hypothyroid,F1 Score,TVAE,-0.01882888228476116,0.05259537592230136,5,0.2
HardTVAE_CLD_curriculum,CLD,curriculum,Hypothyroid,Precision,TVAE,-0.003698893844809881,0.06183543781785475,5,0.2
HardTVAE_CLD_curriculum,CLD,curriculum,Hypothyroid,Recall,TVAE,-0.016402116402116307,0.032797831770095126,5,0.2
HardTVAE_CLD_curriculum,CLD,curriculum,Hypothyroid,Specificity,TVAE,-0.22900841615395512,0.5002709798734709,5,0.2
HardTVAE_CLD_curriculum,CLD,curriculum,ILPD,F1 Score,TVAE,0.05050950687887716,0.08335933105716901,5,0.6
HardTVAE_CLD_curriculum,CLD,curriculum,ILPD,Precision,TVAE,0.07028275568994868,0.15480191266104912,5,0.6
HardTVAE_CLD_curriculum,CLD,curriculum,ILPD,Recall,TVAE,0.044067796610169484,0.03901987943464864,5,0.8
HardTVAE_CLD_curriculum,CLD,curriculum,ILPD,Specificity,TVAE,0.04584816977638517,0.17600002087702243,5,0.6
HardTVAE_CLD_curriculum,CLD,curriculum,NewThyroid1,F1 Score,TVAE,0.052727272727272734,0.11790176608635256,5,0.2
HardTVAE_CLD_curriculum,CLD,curriculum,NewThyroid1,Precision,TVAE,0.06611570247933882,0.147839205123953,5,0.2
HardTVAE_CLD_curriculum,CLD,curriculum,NewThyroid1,Recall,TVAE,0.036363636363636355,0.08131156281817414,5,0.2
